43200,9600,0,0
41600,9600,0,0
41600,9600,0,0
41600,9600,0,0
43200,9600,0,0
41600,8880,0,0
40000,9600,0,0
43200,9600,0,0
46400,8880,0,0
41600,8880,0,0
41600,9600,0,0
43200,9600,0,0
43200,9600,0,0
43200,9600,0,0
41600,9600,0,0
46400,8880,0,0
44800,9600,0,0
41600,9600,0,0
41600,9600,0,0
41600,8880,0,0
46400,9600,0,0
41600,9600,0,0
41600,9600,0,0
40000,8880,0,0
43200,9600,0,0
44800,8880,0,0
41600,9600,0,0
41600,8880,0,0
41600,9600,0,0
41600,9600,0,0
44800,9600,0,0
41600,8880,0,0
40000,9600,0,0
43200,8880,0,0
43200,9600,0,0
44800,8880,0,0
43200,8880,0,0
43200,9600,0,0
41600,8880,0,0
41600,9600,0,0
44800,8000,0,0
41600,9600,0,0
40000,9600,0,0
38400,9600,0,0
41600,9600,0,0
41600,8880,0,0
41600,9600,0,0
38400,9600,0,0
38400,8000,0,0
40000,9600,0,0
38400,9600,0,0
40000,9600,0,0
40000,9600,0,0
40000,8000,0,0
43200,9600,0,0
38400,8880,0,0
41600,8000,0,0
38400,9600,0,0
38400,8880,0,0
43200,9600,0,0
40000,9600,0,0
40000,9600,0,0
40000,9600,0,0
40000,8000,0,0
43200,9600,0,0
38400,9600,0,0
36800,9600,0,0
40000,8880,0,0
41600,9600,0,0
44800,9600,0,0
41600,9600,0,0
38400,8880,0,0
40000,9600,0,0
41600,8880,0,0
43200,9600,0,0
40000,8000,0,0
40000,9600,0,0
41600,8880,0,0
40000,8880,0,0
41600,9600,0,0
40000,8880,0,0
41600,9600,0,0
38400,9600,0,0
41600,8880,0,0
41600,9600,0,0
40000,8880,0,0
41600,9600,0,0
38400,9600,0,0
43200,9600,0,0
41600,8880,0,0
40000,9600,0,0
41600,8880,0,0
38400,9600,0,0
41600,8880,0,0
41600,9600,0,0
38400,8880,0,0
40000,9600,0,0
40000,8880,0,0
41600,9600,0,0
46400,8880,0,0
43200,8880,0,0
41600,9600,0,0
43200,9600,0,0
43200,8000,0,0
46400,9600,0,0
41600,8880,0,0
41600,9600,0,0
41600,9600,0,0
43200,8880,0,0
48000,9600,0,0
41600,9600,0,0
43200,9600,0,0
73600,9600,0,0
204800,9600,0,0
227200,11200,3200,0
270400,12080,19200,0
353600,14400,60800,0
398400,14560,84800,0
540800,14400,134400,0
630400,15440,188800,0
672000,22480,185600,0
667200,23360,176000,0
676800,23200,195200,0
660800,21600,176000,0
611200,23360,160000,0
672000,19840,201600,0
692800,23200,222400,0
704000,20720,208000,0
689600,20720,243200,0
660800,24880,212800,0
681600,26240,208000,0
664000,20960,251200,0
691200,24480,259200,0
692800,20960,232000,0
699200,23600,198400,0
667200,20960,222400,0
686400,24480,236800,0
712000,20960,260800,0
700800,23600,233600,0
700800,20960,195200,0
680000,22880,201600,0
635200,21840,176000,0
624000,18480,169600,0
702400,22880,235200,0
662400,20960,240000,0
678400,19200,211200,0
659200,20080,200000,0
646400,20960,184000,0
636800,17040,209600,0
681600,20080,211200,0
667200,17040,206400,0
635200,19200,177600,0
670400,17040,208000,0
643200,20080,190400,0
652800,17760,185600,0
665600,19360,195200,0
670400,18480,190400,0
643200,16000,182400,0
624000,19200,171200,0
644800,17920,174400,0
668800,20080,192000,0
683200,23440,198400,0
678400,25200,198400,0
625600,21680,188800,0
587200,20080,164800,0
670400,17920,180800,0
657600,23440,179200,0
620800,18640,168000,0
624000,22720,161600,0
632000,19360,169600,0
668800,17760,190400,0
608000,19520,161600,0
542400,21120,142400,0
508800,17040,113600,0
502400,18800,118400,0
608000,20560,158400,0
640000,15280,174400,0
630400,20560,171200,0
672000,17040,171200,0
627200,17920,163200,0
537600,18640,128000,0
563200,19680,139200,0
632000,15280,172800,0
636800,22160,180800,0
635200,17040,174400,0
603200,17920,166400,0
582400,17920,150400,0
582400,19520,148800,0
569600,13680,144000,0
568000,17920,145600,0
539200,13680,142400,0
547200,17040,145600,0
563200,15280,137600,0
537600,17040,136000,0
558400,12800,131200,0
544000,17040,134400,0
563200,13680,139200,0
566400,16320,140800,0
568000,14400,140800,0
611200,17040,156800,0
628800,14400,160000,0
592000,17040,148800,0
584000,15600,147200,0
592000,12800,153600,0
584000,16320,155200,0
460800,14400,102400,0
488000,17040,113600,0
572800,14400,160000,0
585600,16160,153600,0
540800,16160,145600,0
606400,19200,171200,0
526400,27360,124800,0
507200,67040,124800,0
614400,64960,206400,0
646400,54000,196800,0
654400,73520,187200,0
662400,94960,217600,1760
692800,150400,214400,14080
667200,156080,225600,14960
657600,141040,200000,11440
683200,179280,200000,29040
683200,163760,200000,18480
660800,134400,212800,7040
668800,172400,185600,21120
664000,182960,217600,25520
673600,180640,238400,28160
710400,166080,222400,15840
710400,161280,203200,16720
692800,164480,217600,17600
696000,153360,216000,11440
686400,162560,212800,14080
676800,161440,212800,14960
729600,163600,238400,14080
689600,176400,204800,19360
712000,177520,201600,17600
692800,176400,211200,18480
672000,165520,200000,15840
651200,144720,185600,12320
633600,155520,171200,9680
665600,173040,214400,14960
708800,153920,240000,12320
684800,134480,222400,6160
683200,143120,193600,13200
664000,153840,188800,17600
673600,135360,190400,7040
668800,152080,228800,14080
689600,144160,222400,12320
651200,146640,190400,10560
668800,156320,204800,15840
678400,167040,220800,18480
648000,162640,182400,21120
628800,156320,179200,14960
652800,128160,177600,8800
675200,129200,192000,7920
668800,123040,190400,7040
648000,84320,180800,8800
627200,135920,166400,12320
673600,133520,184000,7920
673600,137360,182400,9680
676800,169760,190400,17600
638400,161760,176000,21120
670400,163200,185600,19360
675200,156160,184000,15840
683200,165360,184000,11440
662400,166880,176000,17600
656000,166960,172800,22000
633600,161200,166400,16720
688000,143520,192000,7920
571200,138560,150400,12320
580800,131200,155200,1760
595200,150880,160000,7040
627200,170800,177600,16720
